date,equity
2024-05-13,10000.0
2024-05-14,10000.0
2024-05-15,10000.0
2024-05-16,10000.0
2024-05-17,10000.0
2024-05-18,10000.0
2024-05-19,10000.0
2024-05-20,10000.0
2024-05-21,10000.0
2024-05-22,10000.0
2024-05-23,10000.0
2024-05-24,10000.0
2024-05-25,10000.0
2024-05-26,10000.0
2024-05-27,10000.0
2024-05-28,10000.0
2024-05-29,10000.0
2024-05-30,10000.0
2024-05-31,9985.747623811905
2024-06-01,9955.395660778424
2024-06-02,9949.105662856853
2024-06-03,9772.300215298024
2024-06-04,9506.08784663242
2024-06-05,9572.062105587309
2024-06-06,9530.348224927251
2024-06-07,9349.152430003685
2024-06-08,9317.826173041114
2024-06-09,9274.032717817016
2024-06-10,9264.828514605872
2024-06-11,9541.422263182627
2024-06-12,9399.681977494178
2024-06-13,9178.998184425689
2024-06-14,9276.54126331484
2024-06-15,9252.995712306347
2024-06-16,9194.356779253663
2024-06-17,9213.824700532183
2024-06-18,9390.44956352875
2024-06-19,9414.06617653981
2024-06-20,9431.294877881357
2024-06-21,9527.156496868067
2024-06-22,9506.690128891623
2024-06-23,9646.96140958267
2024-06-24,10026.94680813834
2024-06-25,9827.068310704972
2024-06-26,9957.076500018225
2024-06-27,9853.222706311268
2024-06-28,10021.35540438248
2024-06-29,9947.116572435554
2024-06-30,9712.727503626524
2024-07-01,9689.995842604254
2024-07-02,9797.702832810062
2024-07-03,10040.491532569882
2024-07-04,10458.802356192924
2024-07-05,10500.071486373787
2024-07-06,10285.281215624978
2024-07-07,10606.509074044548
2024-07-08,10494.480082617925
2024-07-09,10323.799888440335
2024-07-10,10358.708713772823
2024-07-11,10410.742970486293
2024-07-12,10338.16514894467
2024-07-13,10163.773371035935
2024-07-14,9960.150059438563
2024-07-15,9399.713294241817
2024-07-16,9430.98948066545
2024-07-17,9296.188799633
2024-07-18,9276.247950103729
2024-07-19,9653.234419832059
2024-07-20,9715.717901215363
2024-07-21,9852.243559919643
2024-07-22,9773.807398912919
2024-07-23,9545.421431591683
2024-07-24,9468.877632985632
2024-07-25,9524.692635943358
2024-07-26,9818.836582044285
2024-07-27,9805.233747199405
2024-07-28,9866.206998521195
2024-07-29,9668.357172600574
2024-07-30,9583.083533795743
2024-07-31,9338.464015680187
2024-08-01,9236.91465037515
2024-08-02,9752.61712023934
2024-08-03,9863.707807083665
2024-08-04,10251.121469892116
2024-08-05,10874.691332551534
2024-08-06,10565.914333617951
2024-08-07,10718.099948450345
2024-08-08,9708.017415196919
2024-08-09,9833.47497199805
2024-08-10,9823.544573534913
2024-08-11,10160.052766654631
2024-08-12,10064.068164873592
2024-08-13,9874.367973814858
2024-08-14,10157.364550696331
2024-08-15,10335.293390654548
2024-08-16,10133.65889053253
2024-08-17,10045.256557439498
2024-08-18,10167.879775730371
2024-08-19,10334.76604147328
2024-08-20,10255.304417145519
2024-08-21,10612.787120992085
2024-08-22,10451.758540203924
2024-08-23,9810.266995372733
